馬番,枠番,馬名,性齢,斤量,騎手,調教師,馬体重,単勝オッズ,人気
1,1,リバティアイランド,牝３,54,川田,中内田,470,3.7,2
2,1,イクイノックス,牡４,58,ルメール,木村,498,1.3,1
3,2,タイトルホルダー,牡５,58,横山和,栗田,476,19.2,4
4,2,スタッドリー,牡５,58,マーカンド,奥村豊,518,547,13
5,3,ドウデュース,牡４,58,戸崎圭,友道,504,13.2,3
6,3,フォワードアゲイン,セ６,58,黛,中野,438,866.4,16
7,4,イレジン,セ６,58,ヴェロン,ゴーヴァン,462,111.2,10
8,4,パンサラッサ,牡６,58,吉田豊,矢作,480,46.4,7
9,5,ヴェラアズール,牡６,58,Hドイル,渡辺,514,99.7,9
10,5,ダノンベルーガ,牡４,58,モレイラ,堀,498,32.5,6
11,6,トラストケンシン,牡８,58,萩野極,高橋文,462,871.9,17
12,6,チェスナットコート,牡９,58,田辺裕信,田中一,466,827,15
13,7,クリノメガミエース,牝４,56,吉村智,石橋満,478,878.1,18
14,7,ディープボンド,牡６,58,和田竜,大久保,494,83.8,8
15,7,ショウナンバシット,牡３,58,Mデムーロ,須貝,494,513.1,12
16,8,インプレス,牡４,58,三浦,佐々木,530,666.1,14
17,8,スターズオンアース,牝４,56,ビュイック,高柳瑞,496,26.6,5
18,8,ウインエアフォルク,牡６,58,藤田菜,根本,474,430.8,11
